,Unnamed: 0,DOI,Journal,Type,Title,Publish_Time,Issue_Time,Co_Author,Author,Rank,Nationality,Abs_country,Abs_GPE,Abs_LOC,Nationality_clean,country_code,region_code,GPE,NORP,LOC,ORG,LANG
11,11,https://doi.org/10.1017/aaq.2021.131,American Antiquity,Article,the nutritional content of five southwestern us indigenous maize (zea mays l.) landraces of varying endosperm type,09 December 2021, April 2022,True,Karen R. Adams,Communication,United States of America,['US'],['US'],['Southwest'],United States,US,NA,['us'],,,,
12,12,https://doi.org/10.1017/aaq.2021.141,American Antiquity,Article,"expanding paleoindian diet breadth: paleoethnobotany of connley cave 5, oregon, usa",14 January 2022, April 2022,True,Katelyn N. McDonough,First,United States of America,[],['Oregon'],['Connley Cave' 'the Far West' 'North America'],United States,US,NA,"['oregon', 'usa']",,['connley cave'],,
13,13,https://doi.org/10.1017/aaq.2021.141,American Antiquity,Article,"expanding paleoindian diet breadth: paleoethnobotany of connley cave 5, oregon, usa",14 January 2022, April 2022,True,Jaime L. Kennedy,Other,United States of America,[],['Oregon'],['Connley Cave' 'the Far West' 'North America'],United States,US,NA,"['oregon', 'usa']",,['connley cave'],,
14,14,https://doi.org/10.1017/aaq.2021.141,American Antiquity,Article,"expanding paleoindian diet breadth: paleoethnobotany of connley cave 5, oregon, usa",14 January 2022, April 2022,True,Richard L. Rosencrance,Other,United States of America,[],['Oregon'],['Connley Cave' 'the Far West' 'North America'],United States,US,NA,"['oregon', 'usa']",,['connley cave'],,
15,15,https://doi.org/10.1017/aaq.2021.141,American Antiquity,Article,"expanding paleoindian diet breadth: paleoethnobotany of connley cave 5, oregon, usa",14 January 2022, April 2022,True,Justin A. Holcomb,Other,United States of America,[],['Oregon'],['Connley Cave' 'the Far West' 'North America'],United States,US,NA,"['oregon', 'usa']",,['connley cave'],,
16,16,https://doi.org/10.1017/aaq.2021.141,American Antiquity,Article,"expanding paleoindian diet breadth: paleoethnobotany of connley cave 5, oregon, usa",14 January 2022, April 2022,True,Dennis L. Jenkins,Other,United States of America,[],['Oregon'],['Connley Cave' 'the Far West' 'North America'],United States,US,NA,"['oregon', 'usa']",,['connley cave'],,
17,17,https://doi.org/10.1017/aaq.2021.141,American Antiquity,Article,"expanding paleoindian diet breadth: paleoethnobotany of connley cave 5, oregon, usa",14 January 2022, April 2022,True,Kathryn Puseman,Communication,United States of America,[],['Oregon'],['Connley Cave' 'the Far West' 'North America'],United States,US,NA,"['oregon', 'usa']",,['connley cave'],,
18,18,https://doi.org/10.1017/aaq.2021.152,American Antiquity,Article,early maize (zea mays) in the north american central plains: the microbotanical evidence,20 April 2022, April 2022,True,Mary J. Adair,First,United States of America,[],['Zea'],['Southwest' 'Plains'],United States,US,NA,,,['the north american central plains'],,
19,19,https://doi.org/10.1017/aaq.2021.152,American Antiquity,Article,early maize (zea mays) in the north american central plains: the microbotanical evidence,20 April 2022, April 2022,True,Neil A. Duncan,Other,United States of America,[],['Zea'],['Southwest' 'Plains'],United States,US,NA,,,['the north american central plains'],,
20,20,https://doi.org/10.1017/aaq.2021.152,American Antiquity,Article,early maize (zea mays) in the north american central plains: the microbotanical evidence,20 April 2022, April 2022,True,Danielle N. Young,Other,United States of America,[],['Zea'],['Southwest' 'Plains'],United States,US,NA,,,['the north american central plains'],,
21,21,https://doi.org/10.1017/aaq.2021.152,American Antiquity,Article,early maize (zea mays) in the north american central plains: the microbotanical evidence,20 April 2022, April 2022,True,Steven R. Bozarth,Other,United States of America,[],['Zea'],['Southwest' 'Plains'],United States,US,NA,,,['the north american central plains'],,
22,22,https://doi.org/10.1017/aaq.2021.152,American Antiquity,Article,early maize (zea mays) in the north american central plains: the microbotanical evidence,20 April 2022, April 2022,True,Robert K. Lusteck,Communication,United States of America,[],['Zea'],['Southwest' 'Plains'],United States,US,NA,,,['the north american central plains'],,
23,23,https://doi.org/10.1017/aaq.2021.151,American Antiquity,Article,the case study in archaeological theory,07 February 2022, April 2022,True,Gavin Lucas,First,Iceland,[],[],[],Iceland,IS,EU,,,,,
24,24,https://doi.org/10.1017/aaq.2021.151,American Antiquity,Article,the case study in archaeological theory,07 February 2022, April 2022,True,Bjørnar Olsen,Communication,Norway,[],[],[],Norway,NO,EU,,,,,
25,25,https://doi.org/10.1017/aaq.2021.122,American Antiquity,Article,"climate-driven dietary change on the colorado plateau, usa, and implications for gender-specific foraging patterns",09 December 2021, January 2022,False,Lisbeth A. Louderback,First,United States of America,['USA'],['North Creek Shelter' 'Colorado Plateau' 'Utah' 'USA'],['the North Creek Shelter'],United States,US,NA,,,"['the colorado plateau', 'usa']",,
26,26,https://doi.org/10.1017/aaq.2021.111,American Antiquity,Article,"turkeys befriend a girl: turkey husbandry, ceremonialism, and tales of resistance during the pueblo revolt era",08 November 2021, January 2022,False,Lynda D. McNeil,First,United States of America,['turkey' '300' 'turkey' 'turkey' 'turkey'],['turkey' 'San Juan' 'turkey' 'turkey' 'efforts—“turkey' 'turkey'],['Native'],United States,US,NA,,,,,
27,27,https://doi.org/10.1017/aaq.2021.61,American Antiquity,Article,ancient dna identification of giant snakehead (channa micropeltes) remains from the market street chinatown and some implications for the nineteenth-century pacific world fish trade,04 October 2021, January 2022,True,J. Ryan Kennedy,First,United States of America,[],['San Jose' 'California' 'jinshanzhuang'],['Southeast Asia' 'North America' 'Atlantic' 'the North Atlantic'],United States,US,NA,,,['pacific world'],,
28,28,https://doi.org/10.1017/aaq.2021.61,American Antiquity,Article,ancient dna identification of giant snakehead (channa micropeltes) remains from the market street chinatown and some implications for the nineteenth-century pacific world fish trade,04 October 2021, January 2022,True,Brittany Bingham,Other,United States of America,[],['San Jose' 'California' 'jinshanzhuang'],['Southeast Asia' 'North America' 'Atlantic' 'the North Atlantic'],United States,US,NA,,,['pacific world'],,
29,29,https://doi.org/10.1017/aaq.2021.61,American Antiquity,Article,ancient dna identification of giant snakehead (channa micropeltes) remains from the market street chinatown and some implications for the nineteenth-century pacific world fish trade,04 October 2021, January 2022,True,Mary Faith Flores,Other,United States of America,[],['San Jose' 'California' 'jinshanzhuang'],['Southeast Asia' 'North America' 'Atlantic' 'the North Atlantic'],United States,US,NA,,,['pacific world'],,
30,30,https://doi.org/10.1017/aaq.2021.61,American Antiquity,Article,ancient dna identification of giant snakehead (channa micropeltes) remains from the market street chinatown and some implications for the nineteenth-century pacific world fish trade,04 October 2021, January 2022,True,Brian M. Kemp,Communication,United States of America,[],['San Jose' 'California' 'jinshanzhuang'],['Southeast Asia' 'North America' 'Atlantic' 'the North Atlantic'],United States,US,NA,,,['pacific world'],,
31,31,https://doi.org/10.1017/aaq.2021.63,American Antiquity,Article,mammoth ivory rods in eastern beringia: earliest in north america,14 October 2021, January 2022,True,Brian T. Wygal,First,United States of America,[],"['Alaska' 'Anzick' 'Montana' 'New Mexico' 'East Wenatchee' 'Washington'
 'Ohio' 'Beringia']",['Shaw Creek' 'Americas' 'Asia' 'North America'],United States,US,NA,,,"['beringia', 'north america']",,
32,32,https://doi.org/10.1017/aaq.2021.63,American Antiquity,Article,mammoth ivory rods in eastern beringia: earliest in north america,14 October 2021, January 2022,True,Kathryn E. Krasinski,Other,United States of America,[],"['Alaska' 'Anzick' 'Montana' 'New Mexico' 'East Wenatchee' 'Washington'
 'Ohio' 'Beringia']",['Shaw Creek' 'Americas' 'Asia' 'North America'],United States,US,NA,,,"['beringia', 'north america']",,
33,33,https://doi.org/10.1017/aaq.2021.63,American Antiquity,Article,mammoth ivory rods in eastern beringia: earliest in north america,14 October 2021, January 2022,True,Charles E. Holmes,Other,United States of America,[],"['Alaska' 'Anzick' 'Montana' 'New Mexico' 'East Wenatchee' 'Washington'
 'Ohio' 'Beringia']",['Shaw Creek' 'Americas' 'Asia' 'North America'],United States,US,NA,,,"['beringia', 'north america']",,
34,34,https://doi.org/10.1017/aaq.2021.63,American Antiquity,Article,mammoth ivory rods in eastern beringia: earliest in north america,14 October 2021, January 2022,True,Barbara A. Crass,Other,United States of America,[],"['Alaska' 'Anzick' 'Montana' 'New Mexico' 'East Wenatchee' 'Washington'
 'Ohio' 'Beringia']",['Shaw Creek' 'Americas' 'Asia' 'North America'],United States,US,NA,,,"['beringia', 'north america']",,
35,35,https://doi.org/10.1017/aaq.2021.63,American Antiquity,Article,mammoth ivory rods in eastern beringia: earliest in north america,14 October 2021, January 2022,True,Kathlyn M. Smith,Communication,United States of America,[],"['Alaska' 'Anzick' 'Montana' 'New Mexico' 'East Wenatchee' 'Washington'
 'Ohio' 'Beringia']",['Shaw Creek' 'Americas' 'Asia' 'North America'],United States,US,NA,,,"['beringia', 'north america']",,
36,36,https://doi.org/10.1017/aaq.2021.62,American Antiquity,Article,parts and wholes: reduction allometry and modularity in experimental folsom points,31 August 2021, January 2022,True,Michael J. Shott,First,United States of America,[],[],[],United States,US,NA,,,,,
37,37,https://doi.org/10.1017/aaq.2021.62,American Antiquity,Article,parts and wholes: reduction allometry and modularity in experimental folsom points,31 August 2021, January 2022,True,Erik Otárola-Castillo,Communication,United States of America,[],[],[],United States,US,NA,,,,,
38,38,https://doi.org/10.1017/aaq.2021.50,American Antiquity,Article,reading between the lines: the social value of dogoszhi style in the chaco world,28 July 2021, January 2022,True,Evan Giomi,First,United States of America,[],['Chaco'],['Southwest'],United States,US,NA,,"['dogoszhi', 'chaco']",,,
39,39,https://doi.org/10.1017/aaq.2021.50,American Antiquity,Article,reading between the lines: the social value of dogoszhi style in the chaco world,28 July 2021, January 2022,True,Barbara J. Mills,Other,United States of America,[],['Chaco'],['Southwest'],United States,US,NA,,"['dogoszhi', 'chaco']",,,
40,40,https://doi.org/10.1017/aaq.2021.50,American Antiquity,Article,reading between the lines: the social value of dogoszhi style in the chaco world,28 July 2021, January 2022,True,Leslie D. Aragon,Other,United States of America,[],['Chaco'],['Southwest'],United States,US,NA,,"['dogoszhi', 'chaco']",,,
41,41,https://doi.org/10.1017/aaq.2021.50,American Antiquity,Article,reading between the lines: the social value of dogoszhi style in the chaco world,28 July 2021, January 2022,True,Benjamin A. Bellorado,Other,United States of America,[],['Chaco'],['Southwest'],United States,US,NA,,"['dogoszhi', 'chaco']",,,
42,42,https://doi.org/10.1017/aaq.2021.50,American Antiquity,Article,reading between the lines: the social value of dogoszhi style in the chaco world,28 July 2021, January 2022,True,Matthew A. Peeples,Communication,United States of America,[],['Chaco'],['Southwest'],United States,US,NA,,"['dogoszhi', 'chaco']",,,
43,43,https://doi.org/10.1017/aaq.2021.82,American Antiquity,Article,chronology for mississippian and oneota occupations at aztalan and the lake koshkonong locality,07 October 2021, January 2022,True,Anthony M. Krus,First,United States of America,['52' '4'],['Wisconsin' 'Aztalan' 'Aztalan' 'Oneota' 'Oneota' 'Oneota'],['the Rock River' 'Rock River' 'the Lake Koshkonong Locality'],United States,US,NA,,"['mississippian', 'oneota']","['aztalan', 'lake koshkonong']",,
44,44,https://doi.org/10.1017/aaq.2021.82,American Antiquity,Article,chronology for mississippian and oneota occupations at aztalan and the lake koshkonong locality,07 October 2021, January 2022,True,John D. Richards,Other,United States of America,['52' '4'],['Wisconsin' 'Aztalan' 'Aztalan' 'Oneota' 'Oneota' 'Oneota'],['the Rock River' 'Rock River' 'the Lake Koshkonong Locality'],United States,US,NA,,"['mississippian', 'oneota']","['aztalan', 'lake koshkonong']",,
45,45,https://doi.org/10.1017/aaq.2021.82,American Antiquity,Article,chronology for mississippian and oneota occupations at aztalan and the lake koshkonong locality,07 October 2021, January 2022,True,Robert J. Jeske,Communication,United States of America,['52' '4'],['Wisconsin' 'Aztalan' 'Aztalan' 'Oneota' 'Oneota' 'Oneota'],['the Rock River' 'Rock River' 'the Lake Koshkonong Locality'],United States,US,NA,,"['mississippian', 'oneota']","['aztalan', 'lake koshkonong']",,
49,49,https://doi.org/10.1017/aaq.2021.34,American Antiquity,Article,havana tradition platform pipe production and disposition: implications for interpreting regional variation in midwestern hopewell ceremonialism,11 June 2021, October 2021,True,Kenneth B. Farnsworth,First,United States of America,[],['Illinois' 'Ohio' 'Illinois' 'Illinois' 'Ohio'],['the Scioto Valley'],United States,US,NA,,['midwestern'],,,
50,50,https://doi.org/10.1017/aaq.2021.34,American Antiquity,Article,havana tradition platform pipe production and disposition: implications for interpreting regional variation in midwestern hopewell ceremonialism,11 June 2021, October 2021,True,Thomas E. Emerson,Other,United States of America,[],['Illinois' 'Ohio' 'Illinois' 'Illinois' 'Ohio'],['the Scioto Valley'],United States,US,NA,,['midwestern'],,,
51,51,https://doi.org/10.1017/aaq.2021.34,American Antiquity,Article,havana tradition platform pipe production and disposition: implications for interpreting regional variation in midwestern hopewell ceremonialism,11 June 2021, October 2021,True,Randall E. Hughes,Communication,United States of America,[],['Illinois' 'Ohio' 'Illinois' 'Illinois' 'Ohio'],['the Scioto Valley'],United States,US,NA,,['midwestern'],,,
52,52,https://doi.org/10.1017/aaq.2021.39,American Antiquity,Article,the evolution of smoking and intoxicant plant use in ancient northwestern north america,15 July 2021, October 2021,True,William J. Damitio,First,United States of America,[],[],['the Pacific Northwest' 'North America'],United States,US,NA,,,['northwestern north america'],,
53,53,https://doi.org/10.1017/aaq.2021.39,American Antiquity,Article,the evolution of smoking and intoxicant plant use in ancient northwestern north america,15 July 2021, October 2021,True,Shannon Tushingham,Other,United States of America,[],[],['the Pacific Northwest' 'North America'],United States,US,NA,,,['northwestern north america'],,
54,54,https://doi.org/10.1017/aaq.2021.39,American Antiquity,Article,the evolution of smoking and intoxicant plant use in ancient northwestern north america,15 July 2021, October 2021,True,Korey J. Brownstein,Other,United States of America,[],[],['the Pacific Northwest' 'North America'],United States,US,NA,,,['northwestern north america'],,
55,55,https://doi.org/10.1017/aaq.2021.39,American Antiquity,Article,the evolution of smoking and intoxicant plant use in ancient northwestern north america,15 July 2021, October 2021,True,R. G. Matson,Other,Canada,[],[],['the Pacific Northwest' 'North America'],Canada,CA,NA,,,['northwestern north america'],,
56,56,https://doi.org/10.1017/aaq.2021.39,American Antiquity,Article,the evolution of smoking and intoxicant plant use in ancient northwestern north america,15 July 2021, October 2021,True,David R. Gang,Communication,United States of America,[],[],['the Pacific Northwest' 'North America'],United States,US,NA,,,['northwestern north america'],,
57,57,https://doi.org/10.1017/aaq.2021.55,American Antiquity,Article,"modeling colonial paternalism: gis and multispectral satellite imagery at kingstown, british virgin islands",03 August 2021, October 2021,True,John M. Chenoweth,First,United States of America,[],['the British Virgin Islands' 'BVI'],[],United States,US,NA,['kingstown'],['british'],['virgin islands'],,
58,58,https://doi.org/10.1017/aaq.2021.55,American Antiquity,Article,"modeling colonial paternalism: gis and multispectral satellite imagery at kingstown, british virgin islands",03 August 2021, October 2021,True,Laura M. Bossio,Other,United States of America,[],['the British Virgin Islands' 'BVI'],[],United States,US,NA,['kingstown'],['british'],['virgin islands'],,
59,59,https://doi.org/10.1017/aaq.2021.55,American Antiquity,Article,"modeling colonial paternalism: gis and multispectral satellite imagery at kingstown, british virgin islands",03 August 2021, October 2021,True,Mark Salvatore,Communication,United States of America,[],['the British Virgin Islands' 'BVI'],[],United States,US,NA,['kingstown'],['british'],['virgin islands'],,
60,60,https://doi.org/10.1017/aaq.2021.60,American Antiquity,Article,"coalescence and the spread of glaze-painted pottery in the central rio grande: the view from tijeras pueblo (la581), new mexico",20 September 2021, October 2021,True,Judith A. Habicht-Mauche,First,United States of America,[],['Albuquerque'],['Rio Grande Valley' 'Western Pueblo-'],United States,US,NA,"['tijeras pueblo', 'la581', 'new mexico']",,['the central rio grande'],,
61,61,https://doi.org/10.1017/aaq.2021.60,American Antiquity,Article,"coalescence and the spread of glaze-painted pottery in the central rio grande: the view from tijeras pueblo (la581), new mexico",20 September 2021, October 2021,True,Suzanne L. Eckert,Communication,United States of America,[],['Albuquerque'],['Rio Grande Valley' 'Western Pueblo-'],United States,US,NA,"['tijeras pueblo', 'la581', 'new mexico']",,['the central rio grande'],,
62,62,https://doi.org/10.1017/aaq.2021.65,American Antiquity,Article,pachuca obsidian blades from the u.s. southwest: implications for mesoamerican connections and coronado's mexican indian allies,11 August 2021, October 2021,True,Sean G. Dolan,First,United States of America,[],['Mesoamerica' 'New Mexico' 'Arizona' 'Mesoamerica'],[],United States,US,NA,,"['mesoamerican', 'mexican', 'indian']",['the u.s. southwest'],,
63,63,https://doi.org/10.1017/aaq.2021.65,American Antiquity,Article,pachuca obsidian blades from the u.s. southwest: implications for mesoamerican connections and coronado's mexican indian allies,11 August 2021, October 2021,True,M. Steven Shackley,Communication,United States of America,[],['Mesoamerica' 'New Mexico' 'Arizona' 'Mesoamerica'],[],United States,US,NA,,"['mesoamerican', 'mexican', 'indian']",['the u.s. southwest'],,
64,64,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Erin Kennedy Thornton,First,United States of America,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],United States,US,NA,['united states'],['mississippian'],,,
65,65,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Tanya Peres,Other,United States of America,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],United States,US,NA,['united states'],['mississippian'],,,
66,66,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Kelly Ledford Chase,Other,United States of America,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],United States,US,NA,['united states'],['mississippian'],,,
67,67,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Brian M. Kemp,Other,United States of America,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],United States,US,NA,['united states'],['mississippian'],,,
68,68,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Ryan Frome,Other,United States of America,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],United States,US,NA,['united states'],['mississippian'],,,
69,69,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Aurelie Manin,Other,United Kingdom,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],United Kingdom,GB,EU,['united states'],['mississippian'],,,
70,70,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Lauren Basnett,Other,United Kingdom,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],United Kingdom,GB,EU,['united states'],['mississippian'],,,
71,71,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Krista McGrath,Other,Spain,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],Spain,ES,EU,['united states'],['mississippian'],,,
72,72,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Camilla Speller,Other,Canada,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],Canada,CA,NA,['united states'],['mississippian'],,,
73,73,https://doi.org/10.1017/aaq.2021.58,American Antiquity,Article,testing for mississippian period turkey management in the archaeological record of the southeastern united states,25 August 2021, October 2021,True,Elizabeth J. Reitz,Communication,United States of America,"['Turkey' 'United States' 'Canada' 'United States' 'United States'
 'turkey']","['Mesoamerica' 'southwestern United States' 'Turkey' 'United States'
 'Canada' 'United States' 'United States' 'turkey']",['Southwest' 'North America'],United States,US,NA,['united states'],['mississippian'],,,
74,74,https://doi.org/10.1017/aaq.2021.57,American Antiquity,Article,ancient grains: new evidence for ancestral puebloan use of domesticated amaranth,03 November 2021, October 2021,True,Michelle I. Turner,First,United States of America,[],['New Mexico' 'Ancestral Puebloan'],['Chaco Canyon' 'Southwest'],United States,US,NA,,['puebloan'],,,
75,75,https://doi.org/10.1017/aaq.2021.57,American Antiquity,Article,ancient grains: new evidence for ancestral puebloan use of domesticated amaranth,03 November 2021, October 2021,True,Karen R. Adams,Other,United States of America,[],['New Mexico' 'Ancestral Puebloan'],['Chaco Canyon' 'Southwest'],United States,US,NA,,['puebloan'],,,
76,76,https://doi.org/10.1017/aaq.2021.57,American Antiquity,Article,ancient grains: new evidence for ancestral puebloan use of domesticated amaranth,03 November 2021, October 2021,True,Jean N. Berkebile,Other,United States of America,[],['New Mexico' 'Ancestral Puebloan'],['Chaco Canyon' 'Southwest'],United States,US,NA,,['puebloan'],,,
77,77,https://doi.org/10.1017/aaq.2021.57,American Antiquity,Article,ancient grains: new evidence for ancestral puebloan use of domesticated amaranth,03 November 2021, October 2021,True,Abigail R. Dockter,Communication,United States of America,[],['New Mexico' 'Ancestral Puebloan'],['Chaco Canyon' 'Southwest'],United States,US,NA,,['puebloan'],,,
78,78,https://doi.org/10.1017/aaq.2021.19,American Antiquity,Article,disrupting cultures of harassment in archaeology: social-environmental and trauma-informed approaches to disciplinary transformation,30 March 2021, July 2021,False,Barbara L. Voss,First,United States of America,[],[],[],United States,US,NA,,,,,
79,79,https://doi.org/10.1017/aaq.2020.109,American Antiquity,Article,interdisciplinary analysis of the lehi horse: implications for early historic horse cultures of the north american west,04 February 2021, July 2021,True,William Timothy Treal Taylor,First,Germany,[],['Lehi' 'Utah'],['North America'],Germany,DE,EU,,,['the north american west'],,
80,80,https://doi.org/10.1017/aaq.2020.109,American Antiquity,Article,interdisciplinary analysis of the lehi horse: implications for early historic horse cultures of the north american west,04 February 2021, July 2021,True,Isaac Hart,Other,United States of America,[],['Lehi' 'Utah'],['North America'],United States,US,NA,,,['the north american west'],,
81,81,https://doi.org/10.1017/aaq.2020.109,American Antiquity,Article,interdisciplinary analysis of the lehi horse: implications for early historic horse cultures of the north american west,04 February 2021, July 2021,True,Emily Lena Jones,Other,United States of America,[],['Lehi' 'Utah'],['North America'],United States,US,NA,,,['the north american west'],,
82,82,https://doi.org/10.1017/aaq.2020.109,American Antiquity,Article,interdisciplinary analysis of the lehi horse: implications for early historic horse cultures of the north american west,04 February 2021, July 2021,True,Joan Brenner-Coltrain,Other,United States of America,[],['Lehi' 'Utah'],['North America'],United States,US,NA,,,['the north american west'],,
83,83,https://doi.org/10.1017/aaq.2020.109,American Antiquity,Article,interdisciplinary analysis of the lehi horse: implications for early historic horse cultures of the north american west,04 February 2021, July 2021,True,Jessica Thompson Jobe,Other,United States of America,[],['Lehi' 'Utah'],['North America'],United States,US,NA,,,['the north american west'],,
84,84,https://doi.org/10.1017/aaq.2020.109,American Antiquity,Article,interdisciplinary analysis of the lehi horse: implications for early historic horse cultures of the north american west,04 February 2021, July 2021,True,Brooks B. Britt,Other,United States of America,[],['Lehi' 'Utah'],['North America'],United States,US,NA,,,['the north american west'],,
85,85,https://doi.org/10.1017/aaq.2020.109,American Antiquity,Article,interdisciplinary analysis of the lehi horse: implications for early historic horse cultures of the north american west,04 February 2021, July 2021,True,H. Gregory McDonald,Other,United States of America,[],['Lehi' 'Utah'],['North America'],United States,US,NA,,,['the north american west'],,
